1,الرَّحْمَنُ,Ar-Rahmaan,The Most Merciful,He who wills goodness and mercy for all His creatures
2,الرَّحِيمُ,Ar-Raheem,The Most Compassionate,He who acts with extreme kindness
3,الْمَلِكُ,Al-Malik,The Absolute Ruler,"The Sovereign Lord, The One with the complete Dominion, the One Whose Dominion is clear from imperfection"
4,الْقُدُّوسُ,Al-Quddus,The Holy One,The One who is pure from any imperfection and clear from children and adversaries
5,السَّلاَمُ,As-Salam,"The Peace, Salvation",The One who is free from every imperfection.
6,الْمُؤْمِنُ,Al-Mu’min,The Believer,The One who witnessed for Himself that no one is God but Him. And He witnessed for His believers that they are truthful in their belief that no one is God but Him
7,الْمُهَيْمِنُ,Al-Muhaymin,The Guardian,The One who witnesses the saying and deeds of His creatures
8,الْعَزِيزُ,Al-Aziz,The Victorious,"The Strong, The Defeater who is not defeated"
9,الْجَبَّارُ,Al-Jabbar,The Compeller,The One that nothing happens in His Dominion except that which He willed
10,الْمُتَكَبِّرُ,Al-Mutakabbir,The Greatest,The One who is clear from the attributes of the creatures and from resembling them.
11,الْخَالِقُ,Al-Khaaliq,The Creator,The One who brings everything from non-existence to existence
12,الْبَارِئُ,Al-Baari,The Shaper,"The Maker, The Creator who has the Power to turn the entities."
13,الْمُصَوِّرُ,Al-Musawwir,The Detailer,The One who forms His creatures in different pictures.
14,الْغَفَّارُ,Al-Ghaffaar,The Forgiving One,"The Forgiver, The One who forgives the sins of His slaves time and time again."
15,الْقَهَّارُ,Al-Qahhaar,The Destroyer,"The Dominant, The One who has the perfect Power and is not unable over anything."
16,الْوَهَّابُ,Al-Wahhab,"The Giver, Bestower",The One who is Generous in giving plenty without any return. He is everything that benefits whether Halal or Haram.
17,الرَّزَّاقُ,Ar-Razzaq,The Provider,"The Sustainer, The Provider."
18,الْفَتَّاحُ,Al-Fattah,The Opener,"The Opener, The Reliever, The Judge, The One who opens for His slaves the closed worldly and religious matters."
19,اَلْعَلِيْمُ,Al-Alim,The Knower of All,The Knowledgeable; The One nothing is absent from His knowledge
20,الْقَابِضُ,Al-Qaabid,The Constrictor,"The Constrictor, The Withholder, The One who constricts the sustenance by His wisdom and expands and widens it with His Generosity and Mercy."
21,الْبَاسِطُ,Al-Baasit,"The Reliever, Expander","The Englarger, The One who constricts the sustenance by His wisdom and expands and widens it with His Generosity and Mercy."
22,الْخَافِضُ,Al-Khaafid,The Abaser,"The Abaser, The One who lowers whoever He willed by His Destruction and raises whoever He willed by His Endowment."
23,الرَّافِعُ,Ar-Rafi,The Exalter,"The Exalter, The Elevator, The One who lowers whoever He willed by His Destruction and raises whoever He willed by His Endowment."
24,الْمُعِزُّ,Al-Mu’izz,The Bestower of Honours,"He gives esteem to whoever He willed, hence there is no one to degrade Him; And He degrades whoever He willed, hence there is no one to give Him esteem."
25,المُذِلُّ,Al-Muzil,The Humiliator,"The Dishonourer, The Humiliator, He gives esteem to whoever He willed, hence there is no one to degrade Him; And He degrades whoever He willed, hence there is no one to give Him esteem."
26,السَّمِيعُ,As-Sami’,The Hearer,"The Hearer, The One who Hears all things that are heard by His Eternal Hearing without an ear, instrument or organ."
27,الْبَصِيرُ,Al-Baseer,The Seer,"The All-Noticing, The One who Sees all things that are seen by His Eternal Seeing without a pupil or any other instrument."
28,الْحَكَمُ,Al-Hakam,The Judge,"The Judge, He is the Ruler and His judgment is His Word."
29,الْعَدْلُ,Al-Adl,The Just One,"The Just, The One who is entitled to do what He does."
30,اللَّطِيفُ,Al-Lateef,The Subtle One,"The Subtle One, The Gracious, The One who is kind to His slaves and endows upon them."
31,الْخَبِيرُ,Al-Khabeer,The Aware,The One who knows the truth of things.
32,الْحَلِيمُ,Al-Haleem,The Soft One,"The Forebearing, The One who delays the punishment for those who deserve it and then He might forgive them."
33,الْعَظِيمُ,Al-Azeem,The Magnificent One,"The Great One, The Mighty, The One deserving the attributes of Exaltment, Glory, Extolement, and Purity from all imperfection."
34,الْغَفُورُ,Al-Ghafoor,The Forgiver and Hider of Faults,"The All-Forgiving, The Forgiving, The One who forgives a lot."
35,الشَّكُورُ,Ash-Shakoor,The Thankful One,"The Grateful, The Appreciative, The One who gives a lot of reward for a little obedience."
36,الْعَلِيُّ,Al-Aliyy,The Highest,"The Most High, The One who is clear from the attributes of the creatures."
37,الْكَبِيرُ,Al-Kabeer,The Greatest,"The Most Great, The Great, The One who is greater than everything in status."
38,الْحَفِيظُ,Al-Hafiz,The Preserver,"The Preserver, The Protector, The One who protects whatever and whoever He willed to protect."
39,المُقيِت,Al-Muqeet,The Watcher Over,"The Maintainer, The Guardian, The Feeder, The One who has the Power."
40,الْحسِيبُ,Al-Haseeb,Tne One Who Keeps Accounts and Measures of All Things,"The Reckoner, The One who gives the satisfaction."
41,الْجَلِيلُ,Al-Jaleel,The Mighty,"The Sublime One, The Beneficent, The One who is attributed with greatness of Power and Glory of status."
42,الْكَرِيمُ,Al-Kareem,The Generous,"The Generous One, The Gracious, The One who is attributed with greatness of Power and Glory of status."
43,الرَّقِيبُ,Ar-Raqeeb,The Vigilant,"The Watcher, The One that nothing is absent from Him. Hence it’s meaning is related to the attribute of Knowledge."
44,الْمُجِيبُ,Al-Mujeeb,The Responder to Prayer,"The Responsive, The Hearkener, The One who answers the one in need if he asks Him and rescues the yearner if he calls upon Him."
45,الْوَاسِعُ,Al-Waasi’,The All-Comprehending,"The Vast, The All-Embracing, The Knowledgeable."
46,الْحَكِيمُ,Al-Hakeem,The Wise,"The Wise, The Judge of Judges, The One who is correct in His doings."
47,الْوَدُودُ,Al-Wadud,The Loving One,The One who loves His believing slaves and His believing slaves love Him. His love to His slaves is His Will to be merciful to them and praise them
48,الْمَجِيدُ,Al-Majeed,The Majestic One,"The Most Glorious One, The One who is with perfect Power, High Status, Compassion, Generosity and Kindness."
49,الْبَاعِثُ,Al-Ba’ith,The Resurrector,"The Resurrector, The Raiser (from death), The One who resurrects His slaves after death for reward and/or punishment."
50,الشَّهِيدُ,Ash-Shaheed,The Witness,"The Witness, The One who nothing is absent from Him."
51,الْحَقُّ,Al-Haqq,The Truth,"The Truth, The True, The One who truly exists."
52,الْوَكِيلُ,Al-Wakeel,The Trustee,"The Trustee, The One who gives the satisfaction and is relied upon."
53,الْقَوِيُّ,Al-Qawwiyy,The Strong One,"The Most Strong, The Strong, The One with the complete Power"
54,الْمَتِينُ,Al-Mateen,The Enduring One,The One with extreme Power which is un-interrupted and He does not get tired.
55,الْوَلِيُّ,Al-Waliyy,The Protecting Friend,"The Protecting Friend, The Supporter."
56,الْحَمِيدُ,Al-Hameed,The Praised One,"The Praiseworthy, The praised One who deserves to be praised."
57,الْمُحْصِي,Al-Muhsee,The Appraiser,"The Counter, The Reckoner, The One who the count of things are known to him."
58,الْمُبْدِئُ,Al-Mubdi,The Originator,"The One who started the human being. That is, He created him."
59,الْمُعِيدُ,Al-Mueed,The Restorer,"The Reproducer, The One who brings back the creatures after death"
60,الْمُحْيِي,Al-Muhyi,The Reviver,"The Restorer, The Giver of Life, The One who took out a living human from semen that does not have a soul. He gives life by giving the souls back to the worn out bodies on the resurrection day and He makes the hearts alive by the light of knowledge."
61,اَلْمُمِيتُ,Al-Mumeet,The Taker of Life,"The Creator of Death, The Destroyer, The One who renders the living dead."
62,الْحَيُّ,Al-Hayy,The Alive One,"The Alive, The One attributed with a life that is unlike our life and is not that of a combination of soul, flesh or blood."
63,الْقَيُّومُ,Al-Qayyoom,The Eternal Caretaker,The One who remains and does not end.
64,الْوَاجِدُ,Al-Waajid,The One Who Forms,"The Perceiver, The Finder, The Rich who is never poor. Al-Wajd is Richness."
65,الْمَاجِدُ,Al-Maajid,The Glorious One,"The Glorious, He who is Most Glorious."
66,الْواحِدُ,Al-Waahid,The One,"The Unique, The One, The One without a partner"
67,اَلاَحَدُ,Al-Ahad,The Unique,The One
68,الصَّمَدُ,As-Samad,The Receiver of Requests,"The Eternal, The Independent, The Master who is relied upon in matters and reverted to in ones needs."
69,الْقَادِرُ,Al-Qaadir,The All Powerful,"The Able, The Capable, The One attributed with Power."
70,الْمُقْتَدِرُ,Al-Muqtadir,The Creator of All Power,"The Powerful, The Dominant, The One with the perfect Power that nothing is withheld from Him."
71,الْمُقَدِّمُ,Al-Muqaddim,The One Who Puts His Creatures Ahead,"The Expediter, The Promoter, The One who puts things in their right places. He makes ahead what He wills and delays what He wills."
72,الْمُؤَخِّرُ,Al-Mu’akhkhir,The One Who Puts His Creatures Behind,"The Delayer, the Retarder, The One who puts things in their right places. He makes ahead what He wills and delays what He wills."
73,الأوَّلُ,Al-Awwal,The Before,"The First, The One whose Existence is without a beginning."
74,الآخِرُ,Al-Akhir,The After,"The Last, The One whose Existence is without an end."
75,الظَّاهِرُ,Az-Zaahir,The Outer,"The Manifest, The One that nothing is above Him and nothing is underneath Him, hence He exists without a place. He, The Exalted, His Existence is obvious by proofs and He is clear from the delusions of attributes of bodies."
76,الْبَاطِنُ,Al-Baatin,The Inner,"The Hidden, The One that nothing is above Him and nothing is underneath Him, hence He exists without a place. He, The Exalted, His Existence is obvious by proofs and He is clear from the delusions of attributes of bodies."
77,الْوَالِي,Al-Waali,The Governor,"The Governor, The One who owns things and manages them."
78,الْمُتَعَالِي,Al-Muta’ali,The Supreme One,"The Most Exalted, The High Exalted, The One who is clear from the attributes of the creation."
79,الْبَرُّ,Al-Barr,The Doer of Good,"The Source of All Goodness, The Righteous, The One who is kind to His creatures, who covered them with His sustenance and specified whoever He willed among them by His support, protection, and special mercy."
80,التَّوَابُ,At-Tawwaab,The Acceptor of Repentence,"The Relenting, The One who grants repentance to whoever He willed among His creatures and accepts his repentance."
81,الْمُنْتَقِمُ,Al-Muntaqim,The Avenger,"The Avenger, The One who victoriously prevails over His enemies and punishes them for their sins. It may mean the One who destroys them."
82,العَفُوُّ,Al-Afuww,The Forgiver,"The Forgiver, The One with wide forgiveness."
83,الرَّؤُوفُ,Ar-Ra’oof,The Clement,"The Compassionate, The One with extreme Mercy. The Mercy of Allah is His will to endow upon whoever He willed among His creatures."
84,مَالِكُ الْمُلْكِ,Maalik-ul-Mulk,The Owner of All,The One who controls the Dominion and gives dominion to whoever He willed.
85,ذُوالْجَلاَلِ وَالإكْرَامِ,Zul-Jalaali-wal-Ikram,The Lord of Majesty and Bounty,"The Lord of Majesty and Bounty, The One who deserves to be Exalted and not denied."
86,الْمُقْسِطُ,Al-Muqsit,The Equitable One,"The Equitable, The One who is Just in His judgment."
87,الْجَامِعُ,Al-Jaami’,The Gatherer,"The Gatherer, The One who gathers the creatures on a day that there is no doubt about, that is the Day of Judgment."
88,الْغَنِيُّ,Al-Ghaniyy,The Rich One,The One who does not need the creation.
89,الْمُغْنِي,Al-Mughni,The Enricher,"The Enricher, The One who satisfies the necessities of the creatures."
90,اَلْمَانِعُ,Al-Maani’,The Preventer,The Withholder.
91,الضَّارَّ,Ad-Daarr,The Creator of the Harmful,The One who makes harm reach to whoever He willed and benefit to whoever He willed.
92,النَّافِعُ,An-Naafi’,The Creator of the Good,"The Propitious, The One who makes harm reach to whoever He willed and benefit to whoever He willed."
93,النُّورُ,An-Noor,The Self-Emitting Light,"The Light, The One who guides."
94,الْهَادِي,Al-Haadi,The Guide,"The Guide, The One whom with His Guidance His believers were guided, and with His Guidance the living beings have been guided to what is beneficial for them and protected from what is harmful to them."
95,الْبَدِيعُ,Al-Badi’,The Originator,"The Incomparable, The One who created the creation and formed it without any preceding example."
96,اَلْبَاقِي,Al-Baaqi,The One Who Remains,"The Everlasting, The One that the state of non-existence is impossible for Him."
97,الْوَارِثُ,Al-Waaris,The Inheritor of All,"The Heir, The One whose Existence remains."
98,الرَّشِيدُ,Ar-Rasheed,The Capable of Right Judgment,"The Guide to the Right Path, The One who guides."
99,الصَّبُورُ,As-Saboor,The Patient One,"The Patient, The One who does not quickly punish the sinners."
